"","title","code","audience_male","audience_female"
"1513","오펀: 천사의 비밀","54704",NA,NA
"1514","영주","164102","25%","75%"
"1515","슬픔보다 더 슬픈 이야기","51781",NA,NA
"1516","우리 형","38384",NA,NA
"1517","숀더쉽","129164","21%","79%"
"1518","드림업","47425",NA,NA
"1519","마이 파더","65840",NA,NA
"1520","헷지","52551",NA,NA
"1521","소라닌","52996",NA,NA
"1522","어글리 트루스","53350",NA,NA
"1523","내겐 너무 아찔한 그녀","38319",NA,NA
"1524","렌트","56065",NA,NA
"1525","새벽의 저주","38364",NA,NA
"1526","박스트롤","109971","28%","72%"
"1527","명탐정 코난 : 감벽의 관","66725","28%","72%"
"1528","영웅: 천하의 시작","34431","80%","20%"
"1529","필라델피아","16121",NA,NA
"1530","달마야 놀자","31922",NA,NA
"1531","제이슨 본","144968","58%","42%"
"1532","장화신은 고양이","83546",NA,NA
"1533","소리꾼","189118","51%","49%"
"1534","히야","129096","12%","88%"
"1535","미씽: 사라진 여자","142625","39%","61%"
"1536","지렁이","134891","80%","20%"
"1537","모어 댄 블루","179430","48%","52%"
"1538","티파니에서 아침을","10073","20%","80%"
"1539","오멘","10066",NA,NA
"1540","하늘을 걷는 남자","125405","50%","50%"
"1541","가족","37974",NA,NA
"1542","마이 리틀 히어로","91606",NA,NA
"1543","그랜드 부다페스트 호텔","97612","39%","61%"
"1544","우아한 거짓말","106522","39%","61%"
"1545","달콤, 살벌한 연인","55405",NA,NA
"1546","레볼루셔너리 로드","66584",NA,NA
"1547","레미제라블","89755","33%","67%"
"1548","워터월드","17116",NA,NA
"1549","천국보다 아름다운","19503",NA,NA
"1550","머니볼","51786",NA,NA
"1551","엘라의 계곡","68258",NA,NA
"1552","인 디 에어","53307",NA,NA
"1553","스파이더맨: 파 프롬 홈","173123","61%","39%"
"1554","셔터 아일랜드","69689",NA,NA
"1555","써드 퍼슨","98483","44%","56%"
"1556","워 호스","79315",NA,NA
"1557","플루토에서 아침을","56362",NA,NA
"1558","액트 오브 밸러: 최정예 특수부대","86823",NA,NA
"1559","블레이드","19459",NA,NA
"1560","사쿠란","60022",NA,NA
"1561","더블 타겟","65113",NA,NA
"1562","카모메 식당","63969","100%",NA
"1563","복수는 나의 것","32667","67%","33%"
"1564","케이온","88494",NA,NA
"1565","극장판 요괴워치: 염라대왕과 5개의 이야기다냥!","137884","21%","79%"
"1566","바스터즈: 거친 녀석들","52245",NA,NA
"1567","개들의 섬","150097","34%","66%"
"1568","리턴","60480",NA,NA
"1569","레지던트 이블: 파멸의 날","110333","63%","37%"
"1570","부활","133496","46%","54%"
"1571","킹스맨: 골든 서클","149747","57%","43%"
"1572","비우티풀","75241",NA,NA
"1573","나잇 & 데이","71486",NA,NA
"1574","터널","141104","50%","50%"
"1575","파프리카","63515",NA,NA
"1576","옹박 - 무에타이의 후예","37642",NA,NA
"1577","스파이더맨: 홈커밍","135874","59%","41%"
"1578","스크림","23847",NA,NA
"1579","나의 결혼 원정기","39441",NA,NA
"1580","냉정과 열정 사이","34532","31%","69%"
"1581","주디","167637","32%","68%"
"1582","용의자","93028","58%","42%"
"1583","반칙왕","28845",NA,NA
"1584","젠틀맨","190720","68%","32%"
"1585","태양의 제국","10636",NA,NA
"1586","뮨: 달의 요정","140139","24%","76%"
"1587","밤쉘: 세상을 바꾼 폭탄선언","191143","29%","71%"
"1588","초속5센티미터","66820","52%","48%"
"1589","아쿠아맨","151153","54%","46%"
"1590","이파네마 소년","52498",NA,NA
"1591","P.S 아이 러브 유","69099",NA,NA
"1592","거짓말","130344","43%","57%"
"1593","미성년","171785","27%","73%"
"1594","안도 타다오","148863","39%","61%"
"1595","러브 라이브! 선샤인!! 더 스쿨 아이돌 무비 오버 더 레인보우","181711","79%","21%"
"1596","덕혜옹주","94767","39%","61%"
"1597","형","142803","43%","57%"
"1598","아키라","20308","55%","45%"
"1599","들개","115955","18%","82%"
"1600","비비안 마이어를 찾아서","113983","38%","62%"
"1601","우아한 세계","47414",NA,NA
"1602","케빈에 대하여","86843","29%","71%"
"1603","슈퍼 빼꼼: 스파이 대작전","94183","25%","75%"
"1604","라운더스","22080",NA,NA
"1605","완벽한 그녀에게 딱 한가지 없는 것","38572",NA,NA
"1606","상하이","47428",NA,NA
"1607","50/50","78846",NA,NA
"1608","신데렐라","101963","28%","72%"
"1609","낮술","49637",NA,NA
"1610","드래프트 데이","110649","45%","55%"
"1611","다가오는 것들","147945","26%","74%"
"1612","홈","122197","23%","77%"
"1613","Mr. 히치 - 당신을 위한 데이트 코치","40034",NA,NA
"1614","월요일이 사라졌다","118955","56%","44%"
"1615","페어 러브","66001",NA,NA
"1616","토르: 다크 월드","95873",NA,NA
"1617","한 번 더 해피엔딩","124288","47%","53%"
"1618","닌자터틀 : 어둠의 히어로","137908","53%","47%"
"1619","유령 신부","42842",NA,NA
"1620","천년여우","33652",NA,NA
"1621","셰이프 오브 워터: 사랑의 모양","158626","39%","61%"
"1622","수퍼 소닉","172816","51%","49%"
"1623","시절인연","102028",NA,NA
"1624","그린치","150688","22%","78%"
"1625","마지막선물...귀휴","65751",NA,NA
"1626","이웃집 남자","54349",NA,NA
"1627","블루 발렌타인","73588","60%","40%"
"1628","바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전","149576","22%","78%"
"1629","이스케이프 플랜","92067",NA,NA
"1630","스폰지밥3D","125841","31%","69%"
"1631","1919 유관순","182407","35%","65%"
"1632","암수살인","167105","53%","47%"
"1633","18 : 우리들의 성장 느와르","102431","50%","50%"
"1634","파운더","137976","62%","38%"
"1635","런어웨이","37708",NA,NA
"1636","강철비","155665","56%","44%"
"1637","롱기스트 야드","39910",NA,NA
"1638","극장판 도라에몽: 진구의 우주영웅기~스페이스 히어로즈~","134685","26%","74%"
"1639","현기증","113303","26%","74%"
"1640","팬텀 스레드","158645","40%","60%"
"1641","좋아해, 너를","144213","100%",NA
"1642","어카운턴트","134859","70%","30%"
"1643","너의 췌장을 먹고 싶어","175318","69%","31%"
"1644","유레루","60510",NA,NA
"1645","원챈스","113163","59%","41%"
"1646","프로포즈 데이","72222",NA,NA
"1647","마음이 외치고 싶어해","142292",NA,NA
"1648","검은 사제들","120157","44%","56%"
"1649","우리들의 헤어진 여자친구","114142",NA,NA
"1650","우리 집에 왜 왔니","51957",NA,NA
"1651","보이 걸 씽","65553",NA,NA
"1652","폭력의 법칙: 나쁜 피 두 번째 이야기","154136","80%","20%"
"1653","노미오와 줄리엣","76444",NA,NA
"1654","더 콜","91700",NA,NA
"1655","리스본행 야간열차","103178","31%","69%"
"1656","헝거게임: 캣칭 파이어","94170",NA,NA
"1657","어벤져스: 에이지 오브 울트론","98438","59%","41%"
"1658","신은 죽지 않았다 3: 어둠 속의 빛","172344","33%","67%"
"1659","데스티네이션","29223",NA,NA
"1660","마야","127707","25%","75%"
"1661","할렐루야","18347",NA,NA
"1662","킹스 스피치","76439",NA,NA
"1663","시카리오: 암살자의 도시","125466","64%","36%"
"1664","매그놀리아","28789","72%","28%"
"1665","제보자","128235","50%","50%"
"1666","싱글라이더","146459","49%","51%"
"1667","모짜르트와 고래","42877",NA,NA
"1668","아틱","175039","55%","45%"
"1669","극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!","156200","28%","72%"
"1670","프리즌 이스케이프","193804","60%","40%"
"1671","나를 찾아줘","116234","51%","49%"
"1672","내 인생의 마지막 변화구","92827",NA,NA
"1673","킬 빌 - 1부","13244",NA,NA
"1674","우리도 사랑일까","78845","38%","62%"
"1675","특별수사: 사형수의 편지","130720","51%","49%"
"1676","몬스터 패밀리","163844","22%","78%"
"1677","굿모닝 에브리원","52972",NA,NA
"1678","나 없는 내 인생","37733",NA,NA
"1679","유스","139438","33%","67%"
"1680","리오 2","103324","29%","71%"
"1681","나우 유 씨 미 2","113344","52%","48%"
"1682","튼튼이의 모험","162423","54%","46%"
"1683","패터슨","144975","32%","68%"
"1684","엔젤 해즈 폴른","163831","69%","31%"
"1685","엑시트","174903","45%","55%"
"1686","무인 곽원갑","57897",NA,NA
"1687","파파로티","85640",NA,NA
"1688","킬러들의 수다","31606",NA,NA
